OCID,CONTRACT_TITLE,CONTRACT_TYPE,PROCUREMENT_METHOD,BUYER_NAME,SUPPLIER_NAMES,CONTRACT_START_DATE,CONTRACT_END_DATE,CONTRACT_AMOUNT,CONTRACT_CURRENCY,País
14,Lamivudina 10mg/ml solucion oral,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,CIPLA,15/12/2017,," 4.338,92 ",USD,Bolivia
15,Lamivudina 10mg/ml solucion oral,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,MYLAN,10/02/2017,," 161,68 ",USD,Bolivia
51,Lamivudina 10mg/ml solucion oral,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,MACLEODS,30/12/2018,," 43.005,04 ",USD,Bolivia
80,Lamivudina 10mg/ml solucion oral,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,MACLEODS,10/01/2019,," 244,52 ",USD,Bolivia
16,Lamivudina 150mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,AUROBINDO,18/07/2017,," 1.027,38 ",USD,Bolivia
17,Lamivudina 150mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,CIPLA,13/11/2017,," 21.181,13 ",USD,Bolivia
18,Lamivudina 150mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,HETERO,05/12/2017,," 1.108,91 ",USD,Bolivia
52,Lamivudina 150mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,HETERO,25/01/2018,," 1.012,79 ",USD,Bolivia
53,Lamivudina 150mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,MYLAN,18/07/2018,," 1.735,92 ",USD,Bolivia
54,Lamivudina 150mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,MYLAN,01/11/2018,," 18.647,76 ",USD,Bolivia
40,Abacavir 120 Mg + Lamivudina 60 Mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,MYLAN,01/11/2018,," 4.752,68 ",USD,Bolivia
